,title,subtitle,link
0,LINO SPEAKS OUT,Liverpool vs Arsenal linesman breaks silence after Robertson elbow incident,https://www.thesun.co.uk/sport/22007672/liverpool-arsenal-linesman-robertson-elbow/
1,HOLD FIRE,Arsenal's home clash against Chelsea MOVED as fans fume over decision,https://www.thesun.co.uk/sport/22007148/arsenal-chelsea-fixture-moved-police-concerns/
2,READY EDDIE,Arsenal receive boost as goalscorer ready to return but still no sign of pal,https://www.thesun.co.uk/sport/22006314/arsenal-receive-mixed-injury-news-nketiah-saliba/
3,FOX CHASE,How Leicester may line up if Smith stays & Terry uses his Chelsea connections,https://www.thesun.co.uk/sport/22003200/leicester-line-up-smith-terry-chelsea-transfers/
4,GRAND NATIONAL,Best Grand National betting sites and free bets,https://www.thesun.co.uk/betting/21993981/grand-national-betting-sites-free-bets/
5,'CAN'T STOP WATCHING',Watch as terrified Cornet flees dog and team-mates laugh hysterically,https://www.thesun.co.uk/sport/22004043/maxwel-cornet-dog-west-ham-fabianski/
6,GON SAMBA,Arsenal plot transfer for Brazilian prodigy dubbed Flamengo's best EVER prospect,https://www.thesun.co.uk/sport/22005979/arsenal-brazil-wonderkid-goncalves-transfer-flamengo/
7,PAUL-ING THROUGH,Gascoigne says he 'died a couple of times' but is 'not scared of anything',https://www.thesun.co.uk/sport/22004940/paul-gascoigne-died-coma-alcohol-england/
8,MARC MY WORDS,Ten Hag told to ‘shut up’ by manager after complaints over Rashford injury,https://www.thesun.co.uk/sport/22006649/ten-hag-shut-up-man-utd-rashford-injury/
9,CASINO,Best Casino Bonuses - Sign up for Free Spins &amp; No deposit bonuses,https://www.thesun.co.uk/betting/20754895/casino-bonus/
10,FOX HUNTED,Leicester CONFIRM Dean Smith as caretaker boss with John Terry as assistant,https://www.thesun.co.uk/sport/21998096/leicester-dean-smith-chelsea-john-terry/
11,PAUL OUT,Man Utd icon Ince SACKED as Reading boss as club face Championship relegation,https://www.thesun.co.uk/sport/22000672/man-utd-ince-reading-sack-board-crisis/
12,PHIL-ING HOT,Fans make the same joke after seeing former Hull boss Phil Brown's new look,https://www.thesun.co.uk/sport/22005878/fans-all-joke-about-phil-brown-hull/
13,REY TO GO,Laura Woods shocked by Wrexham star's flirty comment about Ryan Reynolds' mum,https://www.thesun.co.uk/sport/22006550/laura-woods-wrexham-ryan-reynolds/
14,NOT N-ICE,I played just one Premier League game and got relegated - I ended up in Iceland,https://www.thesun.co.uk/sport/22006494/jonathan-franks-relegated-premier-league-debut/
15,CIN-CREDIBLE,Dele Alli's model girlfriend Cindy joins no bra club as she sprawls on bed,https://www.thesun.co.uk/sport/22000859/dele-alli-model-girlfriend-cindy-kimberly/
16,GET KANE'D,Man Utd face missing out on Harry Kane as two European giants target Spurs star,https://www.thesun.co.uk/sport/22002022/man-utd-psg-real-madrid-harry-kane-tottenham-transfer/
17,GAV THAT,Chelsea hold talks with Gavi's agent as Blues swoop amid star's contract issues,https://www.thesun.co.uk/sport/22000961/chelsea-transfer-gavi-agent-barcelona-contract/
18,AXE TO GRIND,How Man Utd stars facing axe would challenge for Europe as a stand-alone XI,https://www.thesun.co.uk/sport/22005307/man-utd-axe-stars-starting-xi-martial-maguire-degea/
19,CHAMPIONS LEAGUE,Man City vs Bayern Munich betting preview: odds and predictions,https://www.thesun.co.uk/betting/22001565/man-city-bayern-munich-betting-preview-odds-predictions/
20,TOP 40,Football free bets: Get £40 bonus when you stake £10 with William Hill,https://www.thesun.co.uk/sport/20695257/william-hill-free-bets-sign-up-bonus-offer-register/
21,FREE PLAY,1-2-Free: Win £100 in CASH if you correctly predict three scores with Ladbrokes,https://www.thesun.co.uk/sport/21084288/ladbrokes-free-bets-game-bonus-win-100-football/
22,SUN VEGAS,Get up to £300 matched deposit at The Sun Vegas,https://www.thesun.co.uk/betting/21896258/sun-vegas-welcome-bonus/
23,ERIK'S NEW ERA,Man Utd ‘want to offload THIRTEEN players but striker target will snub them’,https://www.thesun.co.uk/sport/21998841/man-utd-want-offload-thirteen-players-summer-transfers/
24,QUIDS IN,Football punter wins over £87k from £5 stake after William Hill pay out EXTRA £29k,https://www.thesun.co.uk/sport/22006353/football-punter-wins-87000-william-hill-extra-29000/
25,LOST THE LEED,Leeds 'ordered to pay ex-player who featured just three times £24.5MILLION',https://www.thesun.co.uk/sport/22000695/leeds-jean-kevin-augustin-pay-contract/
26,WHO ARE YA?,Unrecognisable ex-Prem star shows off new look coaching abroad after bankruptcy,https://www.thesun.co.uk/sport/22002380/unrecognisable-premier-league-coach-bankruptcy/
27,JOAO IS THE TIME,Felix 'has not stopped boasting' since Chelsea move as Blues eye transfer,https://www.thesun.co.uk/sport/22001191/joao-felix-chelsea-transfer-atletico-madrid/
28,OUT OF LINE,Linesman STOOD DOWN after 'elbow' on Liverpool's Robertson as FA probe incident,https://www.thesun.co.uk/sport/21995786/linesman-constantine-hatzidakis-suspended-andy-robertson-arsenal/
29,REF WATCH,"Linesman should get MASSIVE ban if it's proved he elbowed Robertson, says Halsey",https://www.thesun.co.uk/sport/21993120/linesman-elbow-robertson-ban-liverpool-arsenal-halsey/
30,GONE TOO SOON,Tragedy as footballer dies suddenly leaving his family & club devastated,https://www.thesun.co.uk/sport/21999091/tragedy-young-footballer-dies-suddenly/
31,CLASS IS PERMANENT,Former Prem star who snubbed Barcelona scores first goal in SEVEN years,https://www.thesun.co.uk/sport/22002208/bostock-goal-seven-years-foster-notts-county-wrexham/
32,BREACH FOR THE STARS,Who is Jules Breach and what football team does she support?,https://www.thesun.co.uk/sport/21954416/who-is-jules-breach-what-football-team-does-support/
33,NO LAUGHING MATTER,Dele Alli pictured surrounded by gas canisters with balloon in his mouth,https://www.thesun.co.uk/sport/21995312/dele-alli-pictured-gas-canisters-balloon/
34,REAL STATE,Property firm ‘backed’ by Mikel Arteta & Luis Suarez could owe £1.2M,https://www.thesun.co.uk/sport/21965379/mikel-arteta-property-firm-loan-debt/
35,CHERRY PICKED,Bournemouth star 'banished from first-team after opening talks over transfer',https://www.thesun.co.uk/sport/22004216/bournemouth-banished-relegation-zemura-transfer/
36,DELE BLOW,Dele Alli OUT for rest of season after being sent back to Everton with injury,https://www.thesun.co.uk/sport/21996628/dele-alli-injured-rest-of-season-besiktas-everton/
37,RANKED,Best casino welcome bonus - UK casino offers for 2023,https://www.thesun.co.uk/betting/21097803/casino-welcome-bonus/
38,BONUS,Best no-deposit bonuses: Top no-deposit casinos for 2023,https://www.thesun.co.uk/betting/21007381/best-no-deposit-casino-bonuses/
39,FREE SPINS,Get up to 100 free spins and 100% matched deposit bonus with Duelz Casino,https://www.thesun.co.uk/betting/21848309/matched-deposit-bonus-duelz-casino/
40,REVIEW,Best online casinos in the UK: Top 10 casino sites for 2023,https://www.thesun.co.uk/betting/20803800/the-best-online-casinos-in-the-uk/
41,RON RAGE,Watch Ronaldo row with rivals as he throws tantrum after firing blank for Al-Nassr,https://www.thesun.co.uk/sport/21994104/cristiano-ronaldo-row-tantrum-al-nassr/
42,SPATS ENTERTAINMENT,Spats are all the rage - it was matter of time before ref got involved,https://www.thesun.co.uk/sport/21999798/premier-league-spats-andy-robertson/
